strain	originating_lab	submitting_lab	author
A/bluewingedteal/Montana/23032220005original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	?
A/mallard/Montana/23030444002/2023	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Tawidian,P., Torchetti,M.K., Killian,M.L., Lantz,K., Dilione,K.E., Ringenberg,J.M., Bevins,S.N., Lenoch,J.B. and Ip,H.S.
A/mallard/Montana/23030444002original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/Indiana/24005716002/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/chicken/Indiana/24005716003/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/peacock/Indiana/24005716006original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/Indiana/24005716006/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/turkeyvulture/California/24007419001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	T.,Nguyen; C.,Hutter; A.,Markin; M.,Thomas; K.,Lantz; M.L.,Killian; G.M.,Janzen; S.,Vijendran; S.,Wagle; B.,Inderski; D.R.,Magstadt; G.,Li; D.G.,Diel; E.A.,Frye; K.M.,Dimitrov; A.K.,Swinford; A.C.,Thompson; K.R.,Snevik; D.L.,Suarez; E.,Spackman; S.M.,Lakin; S.,C; K.R.,Johnson; A.L.,Baker; Robbe-S.,Austerman; M.K.,Torchetti; Anderson,T.K.
A/muteswan/California/24005918001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	T.,Nguyen; C.,Hutter; A.,Markin; M.,Thomas; K.,Lantz; M.L.,Killian; G.M.,Janzen; S.,Vijendran; S.,Wagle; B.,Inderski; D.R.,Magstadt; G.,Li; D.G.,Diel; E.A.,Frye; K.M.,Dimitrov; A.K.,Swinford; A.C.,Thompson; K.R.,Snevik; D.L.,Suarez; E.,Spackman; S.M.,Lakin; S.,C; K.R.,Johnson; A.L.,Baker; Robbe-S.,Austerman; M.K.,Torchetti; Anderson,T.K.
A/cinnamonteal/California/23032991011original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/California/24001558005original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/domesticgoose/California/24000492001original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/mallard/Oregon/23032795043original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/California/23038158003original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/northernshoveler/California/23034302025original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/Florida/23036761002original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/chicken/SouthDakota/23035815001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/mallard/Washington/23033638011/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/mallard/Iowa/23034037004original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/Colorado/24000499001original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/Canadagoose/Michigan/24000650001original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/CommonRaven/BritishColumbia/AIVPHL1996/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/AmericanCrow/BritishColumbia/AIVPHL1874/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/baldeagle/Washington/24007953001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	T.,Nguyen; C.,Hutter; A.,Markin; M.,Thomas; K.,Lantz; M.L.,Killian; G.M.,Janzen; S.,Vijendran; S.,Wagle; B.,Inderski; D.R.,Magstadt; G.,Li; D.G.,Diel; E.A.,Frye; K.M.,Dimitrov; A.K.,Swinford; A.C.,Thompson; K.R.,Snevik; D.L.,Suarez; E.,Spackman; S.M.,Lakin; S.,C; K.R.,Johnson; A.L.,Baker; Robbe-S.,Austerman; M.K.,Torchetti; Anderson,T.K.
A/CanadaGoose/BritishColumbia/AIVPHL1395/2023	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/chicken/Oregon/24007557001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	T.,Nguyen; C.,Hutter; A.,Markin; M.,Thomas; K.,Lantz; M.L.,Killian; G.M.,Janzen; S.,Vijendran; S.,Wagle; B.,Inderski; D.R.,Magstadt; G.,Li; D.G.,Diel; E.A.,Frye; K.M.,Dimitrov; A.K.,Swinford; A.C.,Thompson; K.R.,Snevik; D.L.,Suarez; E.,Spackman; S.M.,Lakin; S.,C; K.R.,Johnson; A.L.,Baker; Robbe-S.,Austerman; M.K.,Torchetti; Anderson,T.K.
A/pheasant/Kansas/24001752002original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/turkey/SouthDakota/23033096001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/chicken/Minnesota/23032247001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/turkey/Minnesota/23033106001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/turkey/Minnesota/23035616002original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/turkey/Minnesota/23034013002original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/redtailedhawk/California/24003714001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/greathornedowl/Oregon/24006223001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/commonraven/California/24007417001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	T.,Nguyen; C.,Hutter; A.,Markin; M.,Thomas; K.,Lantz; M.L.,Killian; G.M.,Janzen; S.,Vijendran; S.,Wagle; B.,Inderski; D.R.,Magstadt; G.,Li; D.G.,Diel; E.A.,Frye; K.M.,Dimitrov; A.K.,Swinford; A.C.,Thompson; K.R.,Snevik; D.L.,Suarez; E.,Spackman; S.M.,Lakin; S.,C; K.R.,Johnson; A.L.,Baker; Robbe-S.,Austerman; M.K.,Torchetti; Anderson,T.K.
A/StripedSkunk/WA/W24053007421/2024	Washington State University, Department Of Veterinary Microbiology And Pathology		Falghoush,A.M., Waltzek,T.B. and Torrevillas,B.K.K.
A/skunk/Washington/24005959001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	T.,Nguyen; C.,Hutter; A.,Markin; M.,Thomas; K.,Lantz; M.L.,Killian; G.M.,Janzen; S.,Vijendran; S.,Wagle; B.,Inderski; D.R.,Magstadt; G.,Li; D.G.,Diel; E.A.,Frye; K.M.,Dimitrov; A.K.,Swinford; A.C.,Thompson; K.R.,Snevik; D.L.,Suarez; E.,Spackman; S.M.,Lakin; S.,C; K.R.,Johnson; A.L.,Baker; Robbe-S.,Austerman; M.K.,Torchetti; Anderson,T.K.
A/skunk/Washington/24005959006/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/skunk/Washington/24005959002/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	T.,Nguyen; C.,Hutter; A.,Markin; M.,Thomas; K.,Lantz; M.L.,Killian; G.M.,Janzen; S.,Vijendran; S.,Wagle; B.,Inderski; D.R.,Magstadt; G.,Li; D.G.,Diel; E.A.,Frye; K.M.,Dimitrov; A.K.,Swinford; A.C.,Thompson; K.R.,Snevik; D.L.,Suarez; E.,Spackman; S.M.,Lakin; S.,C; K.R.,Johnson; A.L.,Baker; Robbe-S.,Austerman; M.K.,Torchetti; Anderson,T.K.
A/skunk/Washington/24005959005/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/skunk/Washington/24005959004/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/skunk/Washington/24005959003/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	T.,Nguyen; C.,Hutter; A.,Markin; M.,Thomas; K.,Lantz; M.L.,Killian; G.M.,Janzen; S.,Vijendran; S.,Wagle; B.,Inderski; D.R.,Magstadt; G.,Li; D.G.,Diel; E.A.,Frye; K.M.,Dimitrov; A.K.,Swinford; A.C.,Thompson; K.R.,Snevik; D.L.,Suarez; E.,Spackman; S.M.,Lakin; S.,C; K.R.,Johnson; A.L.,Baker; Robbe-S.,Austerman; M.K.,Torchetti; Anderson,T.K.
A/sanderling/Virginia/W24190A/2024	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D.; Webby,R.
A/sanderling/Virginia/W24190J/2024	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D.; Webby,R.
A/sanderling/Virginia/W24190K/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D. and Webby,R.
A/sanderling/Virginia/W24190I/2024	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D.; Webby,R.
A/ruddyturnstone/Virginia/W24190N/2024	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D.; Webby,R.
A/sanderling/Virginia/W24190E/2024	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D.; Webby,R.
A/sanderling/Virginia/W24190C/2024	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D.; Webby,R.
A/sanderling/Virginia/W24190H/2024	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D.; Webby,R.
A/Americancrow/Virginia/W24190M/2024	Ceirr Influenza Data Processing And Communication Center, St. Jude Center Of Excellence For Influenza Research And Response	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center	Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D.; Webby,R.
A/redtailedhawk/Virginia/W24248F/2024	St. Jude Center Of Excellence For Influenza Research And Response   Ceirr Influenza Data Processing And Communication Center		Poulson,R., Stallknecht,D., Rubrum,A., Jeevan,T., Walker,D. and Webby,R.
A/greenwingedteal/Iowa/23032986006original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/turkey/SouthDakota/23038978001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/greathornedowl/Oregon/23031854001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/northernshoveler/Iowa/23039013007original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/cat/Montana/24006142001/2023	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/pheasant/Kansas/24001019001original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/pheasant/Kansas/24000770001original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/peregrinefalcon/Minnesota/23031335001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/turkey/Indiana/24002432002original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/skunk/Montana/24007939001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	T.,Nguyen; C.,Hutter; A.,Markin; M.,Thomas; K.,Lantz; M.L.,Killian; G.M.,Janzen; S.,Vijendran; S.,Wagle; B.,Inderski; D.R.,Magstadt; G.,Li; D.G.,Diel; E.A.,Frye; K.M.,Dimitrov; A.K.,Swinford; A.C.,Thompson; K.R.,Snevik; D.L.,Suarez; E.,Spackman; S.M.,Lakin; S.,C; K.R.,Johnson; A.L.,Baker; Robbe-S.,Austerman; M.K.,Torchetti; Anderson,T.K.
A/westerngull/California/24004708001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/chicken/California/24013431002original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/California/24013431001original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/turkey/SouthDakota/23036552002original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/mallard/Kansas/23035001006original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/mallard/NorthDakota/23034422001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/Kansas/24000250002original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/Kansas/23039047002original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/mallard/Indiana/23034643001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/chicken/Michigan/23035041001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/chicken/Alabama/23039062001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/canadagoose/Indiana/24005146001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/trumpeterswan/Wisconsin/23037500002original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/greenwingedteal/NorthCarolina/24001600005original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
